Line_Number,Timestamp,Parsed_Time,Event,IP_Address,Username,Process,Host,Message,Raw_Line,Geo_Country,Geo_City,Geo_Lat,Geo_Lon,IP_Reputation,ASN,MITRE_Technique,MITRE_Tactic,Geo_Risk,Session_ID,Risk_Score,Severity_Level
11,Jun 15 01:18:37,2024-06-15 01:18:37,SUCCESSFUL_LOGIN,10.0.1.200,admin,sshd,db-primary,7344]: Accepted password for admin from 10.0.1.200 port 38177 ssh2,Jun 15 01:18:37 db-primary sshd[7344]: Accepted password for admin from 10.0.1.200 port 38177 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0007,49.62,CRITICAL
12,Jun 15 01:20:53,2024-06-15 01:20:53,SUCCESSFUL_LOGIN,192.168.1.101,user,sshd,server01,18574]: Accepted password for user from 192.168.1.101 port 30252 ssh2,Jun 15 01:20:53 server01 sshd[18574]: Accepted password for user from 192.168.1.101 port 30252 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.35,S-0008,51.72,CRITICAL
13,Jun 15 01:22:14,2024-06-15 01:22:14,SUCCESSFUL_LOGIN,10.0.1.200,user,sshd,auth-gateway,36410]: Accepted password for user from 10.0.1.200 port 61632 ssh2,Jun 15 01:22:14 auth-gateway sshd[36410]: Accepted password for user from 10.0.1.200 port 61632 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0007,49.62,CRITICAL
14,Jun 15 01:28:48,2024-06-15 01:28:48,SUCCESSFUL_LOGIN,10.0.1.200,admin,sshd,web-prod,17564]: Accepted password for admin from 10.0.1.200 port 53612 ssh2,Jun 15 01:28:48 web-prod sshd[17564]: Accepted password for admin from 10.0.1.200 port 53612 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0007,49.62,CRITICAL
15,Jun 15 01:32:26,2024-06-15 01:32:26,SUCCESSFUL_LOGIN,192.168.1.101,user,sshd,db-primary,50658]: Accepted password for user from 192.168.1.101 port 45661 ssh2,Jun 15 01:32:26 db-primary sshd[50658]: Accepted password for user from 192.168.1.101 port 45661 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.35,S-0008,51.72,CRITICAL
16,Jun 15 01:50:03,2024-06-15 01:50:03,SUCCESSFUL_LOGIN,192.168.1.55,deploy,sshd,auth-gateway,26137]: Accepted password for deploy from 192.168.1.55 port 58558 ssh2,Jun 15 01:50:03 auth-gateway sshd[26137]: Accepted password for deploy from 192.168.1.55 port 58558 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1078 — Valid Accounts,Initial Access,0.95,S-0009,59.03,CRITICAL
17,Jun 15 01:53:33,2024-06-15 01:53:33,OTHER,Internal,user,sshd,server01,64647]: pam_unix(sshd:session): session opened for user ubuntu,Jun 15 01:53:33 server01 sshd[64647]: pam_unix(sshd:session): session opened for user ubuntu,Local,Internal,0.0,0.0,0.95,AS0 — Internal,T1059 — Command and Scripting Interpreter,Execution,0.3,S-0010,19.67,MEDIUM
18,Jun 15 01:54:06,2024-06-15 01:54:06,SUCCESSFUL_LOGIN,10.0.0.5,deploy,sshd,web-prod,38911]: Accepted password for deploy from 10.0.0.5 port 38635 ssh2,Jun 15 01:54:06 web-prod sshd[38911]: Accepted password for deploy from 10.0.0.5 port 38635 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0011,47.71,CRITICAL
19,Jun 15 01:58:59,2024-06-15 01:58:59,FAILED_LOGIN,192.168.1.55,ubuntu,sshd,server01,62464]: Failed password for ubuntu from 192.168.1.55 port 63130 ssh2,Jun 15 01:58:59 server01 sshd[62464]: Failed password for ubuntu from 192.168.1.55 port 63130 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1110 — Brute Force,Credential Access,0.95,S-0009,59.03,CRITICAL
20,Jun 15 02:03:49,2024-06-15 02:03:49,OTHER,Internal,user,sshd,web-prod,37795]: pam_unix(sshd:session): session opened for user user,Jun 15 02:03:49 web-prod sshd[37795]: pam_unix(sshd:session): session opened for user user,Local,Internal,0.0,0.0,0.95,AS0 — Internal,T1059 — Command and Scripting Interpreter,Execution,0.3,S-0010,19.67,MEDIUM
21,Jun 15 02:17:18,2024-06-15 02:17:18,SUCCESSFUL_LOGIN,10.0.0.5,deploy,sshd,web-prod,60799]: Accepted password for deploy from 10.0.0.5 port 44089 ssh2,Jun 15 02:17:18 web-prod sshd[60799]: Accepted password for deploy from 10.0.0.5 port 44089 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0011,47.71,CRITICAL
22,Jun 15 02:17:49,2024-06-15 02:17:49,SUCCESSFUL_LOGIN,10.0.0.12,admin,sshd,server01,28396]: Accepted password for admin from 10.0.0.12 port 39452 ssh2,Jun 15 02:17:49 server01 sshd[28396]: Accepted password for admin from 10.0.0.12 port 39452 ssh2,Local,Internal,0.0,0.0,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.3,S-0012,52.14,CRITICAL
23,Jun 15 02:21:47,2024-06-15 02:21:47,SUCCESSFUL_LOGIN,10.0.0.5,ubuntu,sshd,web-prod,15791]: Accepted password for ubuntu from 10.0.0.5 port 34032 ssh2,Jun 15 02:21:47 web-prod sshd[15791]: Accepted password for ubuntu from 10.0.0.5 port 34032 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0011,47.71,CRITICAL
24,Jun 15 02:31:33,2024-06-15 02:31:33,SUCCESSFUL_LOGIN,192.168.1.101,deploy,sshd,server01,9934]: Accepted password for deploy from 192.168.1.101 port 51584 ssh2,Jun 15 02:31:33 server01 sshd[9934]: Accepted password for deploy from 192.168.1.101 port 51584 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.35,S-0013,51.72,CRITICAL
25,Jun 15 02:38:09,2024-06-15 02:38:09,SUCCESSFUL_LOGIN,10.0.0.5,deploy,sshd,server01,11023]: Accepted password for deploy from 10.0.0.5 port 40976 ssh2,Jun 15 02:38:09 server01 sshd[11023]: Accepted password for deploy from 10.0.0.5 port 40976 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0011,47.71,CRITICAL
26,Jun 15 02:38:16,2024-06-15 02:38:16,SUCCESSFUL_LOGIN,10.0.1.200,admin,sshd,db-primary,46283]: Accepted password for admin from 10.0.1.200 port 43975 ssh2,Jun 15 02:38:16 db-primary sshd[46283]: Accepted password for admin from 10.0.1.200 port 43975 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0014,49.62,CRITICAL
27,Jun 15 02:46:35,2024-06-15 02:46:35,SUCCESSFUL_LOGIN,10.0.0.12,deploy,sshd,auth-gateway,25532]: Accepted password for deploy from 10.0.0.12 port 50891 ssh2,Jun 15 02:46:35 auth-gateway sshd[25532]: Accepted password for deploy from 10.0.0.12 port 50891 ssh2,Local,Internal,0.0,0.0,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.3,S-0012,52.14,CRITICAL
28,Jun 15 02:46:52,2024-06-15 02:46:52,SUCCESSFUL_LOGIN,10.0.1.200,ubuntu,sshd,db-primary,44954]: Accepted password for ubuntu from 10.0.1.200 port 44023 ssh2,Jun 15 02:46:52 db-primary sshd[44954]: Accepted password for ubuntu from 10.0.1.200 port 44023 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0014,49.62,CRITICAL
29,Jun 15 02:50:33,2024-06-15 02:50:33,SUCCESSFUL_LOGIN,192.168.1.55,admin,sshd,web-prod,32358]: Accepted password for admin from 192.168.1.55 port 37106 ssh2,Jun 15 02:50:33 web-prod sshd[32358]: Accepted password for admin from 192.168.1.55 port 37106 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1078 — Valid Accounts,Initial Access,0.95,S-0015,59.03,CRITICAL
30,Jun 15 03:10:28,2024-06-15 03:10:28,FAILED_LOGIN,10.0.1.200,user,sshd,web-prod,32265]: Failed password for user from 10.0.1.200 port 37309 ssh2,Jun 15 03:10:28 web-prod sshd[32265]: Failed password for user from 10.0.1.200 port 37309 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1110 — Brute Force,Credential Access,0.3,S-0014,49.62,CRITICAL
31,Jun 15 03:11:10,2024-06-15 03:11:10,FAILED_LOGIN,192.168.1.101,admin,sshd,auth-gateway,5474]: Failed password for admin from 192.168.1.101 port 55143 ssh2,Jun 15 03:11:10 auth-gateway sshd[5474]: Failed password for admin from 192.168.1.101 port 55143 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1110 — Brute Force,Credential Access,0.35,S-0016,51.72,CRITICAL
32,Jun 15 03:18:19,2024-06-15 03:18:19,SUCCESSFUL_LOGIN,10.0.0.5,user,sshd,auth-gateway,22583]: Accepted password for user from 10.0.0.5 port 34741 ssh2,Jun 15 03:18:19 auth-gateway sshd[22583]: Accepted password for user from 10.0.0.5 port 34741 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0017,47.71,CRITICAL
33,Jun 15 03:22:30,2024-06-15 03:22:30,SUCCESSFUL_LOGIN,10.0.0.5,ubuntu,sshd,auth-gateway,39112]: Accepted password for ubuntu from 10.0.0.5 port 34134 ssh2,Jun 15 03:22:30 auth-gateway sshd[39112]: Accepted password for ubuntu from 10.0.0.5 port 34134 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0017,47.71,CRITICAL
34,Jun 15 03:28:28,2024-06-15 03:28:28,OTHER,Internal,user,sshd,auth-gateway,25231]: pam_unix(sshd:session): session opened for user deploy,Jun 15 03:28:28 auth-gateway sshd[25231]: pam_unix(sshd:session): session opened for user deploy,Local,Internal,0.0,0.0,0.95,AS0 — Internal,T1059 — Command and Scripting Interpreter,Execution,0.3,S-0018,19.67,MEDIUM
35,Jun 15 03:41:42,2024-06-15 03:41:42,SUCCESSFUL_LOGIN,10.0.1.200,ubuntu,sshd,server01,57248]: Accepted password for ubuntu from 10.0.1.200 port 47959 ssh2,Jun 15 03:41:42 server01 sshd[57248]: Accepted password for ubuntu from 10.0.1.200 port 47959 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0019,49.62,CRITICAL
36,Jun 15 03:47:11,2024-06-15 03:47:11,OTHER,Internal,user,sshd,auth-gateway,51349]: pam_unix(sshd:session): session opened for user ubuntu,Jun 15 03:47:11 auth-gateway sshd[51349]: pam_unix(sshd:session): session opened for user ubuntu,Local,Internal,0.0,0.0,0.95,AS0 — Internal,T1059 — Command and Scripting Interpreter,Execution,0.3,S-0018,19.67,MEDIUM
37,Jun 15 03:51:56,2024-06-15 03:51:56,SUCCESSFUL_LOGIN,10.0.0.5,deploy,sshd,web-prod,36252]: Accepted password for deploy from 10.0.0.5 port 38563 ssh2,Jun 15 03:51:56 web-prod sshd[36252]: Accepted password for deploy from 10.0.0.5 port 38563 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0017,47.71,CRITICAL
38,Jun 15 03:56:49,2024-06-15 03:56:49,SUCCESSFUL_LOGIN,10.0.0.5,user,sshd,server01,38165]: Accepted password for user from 10.0.0.5 port 45347 ssh2,Jun 15 03:56:49 server01 sshd[38165]: Accepted password for user from 10.0.0.5 port 45347 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0017,47.71,CRITICAL
39,Jun 15 04:06:49,2024-06-15 04:06:49,SUCCESSFUL_LOGIN,10.0.0.5,deploy,sshd,db-primary,60444]: Accepted password for deploy from 10.0.0.5 port 55295 ssh2,Jun 15 04:06:49 db-primary sshd[60444]: Accepted password for deploy from 10.0.0.5 port 55295 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0017,47.71,CRITICAL
40,Jun 15 04:07:29,2024-06-15 04:07:29,SUCCESSFUL_LOGIN,192.168.1.101,user,sshd,db-primary,23705]: Accepted password for user from 192.168.1.101 port 40414 ssh2,Jun 15 04:07:29 db-primary sshd[23705]: Accepted password for user from 192.168.1.101 port 40414 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.35,S-0020,51.72,CRITICAL
41,Jun 15 04:10:22,2024-06-15 04:10:22,SUCCESSFUL_LOGIN,10.0.0.12,user,sshd,db-primary,39898]: Accepted password for user from 10.0.0.12 port 63186 ssh2,Jun 15 04:10:22 db-primary sshd[39898]: Accepted password for user from 10.0.0.12 port 63186 ssh2,Local,Internal,0.0,0.0,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.3,S-0021,52.14,CRITICAL
42,Jun 15 04:12:54,2024-06-15 04:12:54,SUCCESSFUL_LOGIN,192.168.1.55,user,sshd,db-primary,64702]: Accepted password for user from 192.168.1.55 port 59452 ssh2,Jun 15 04:12:54 db-primary sshd[64702]: Accepted password for user from 192.168.1.55 port 59452 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1078 — Valid Accounts,Initial Access,0.95,S-0022,59.03,CRITICAL
43,Jun 15 04:13:48,2024-06-15 04:13:48,SUCCESSFUL_LOGIN,10.0.0.5,user,sshd,auth-gateway,21343]: Accepted password for user from 10.0.0.5 port 42363 ssh2,Jun 15 04:13:48 auth-gateway sshd[21343]: Accepted password for user from 10.0.0.5 port 42363 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0017,47.71,CRITICAL
44,Jun 15 04:18:02,2024-06-15 04:18:02,SUCCESSFUL_LOGIN,10.0.0.12,ubuntu,sshd,auth-gateway,60345]: Accepted password for ubuntu from 10.0.0.12 port 32147 ssh2,Jun 15 04:18:02 auth-gateway sshd[60345]: Accepted password for ubuntu from 10.0.0.12 port 32147 ssh2,Local,Internal,0.0,0.0,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.3,S-0021,52.14,CRITICAL
45,Jun 15 04:31:35,2024-06-15 04:31:35,SUCCESSFUL_LOGIN,192.168.1.55,admin,sshd,db-primary,3177]: Accepted password for admin from 192.168.1.55 port 62369 ssh2,Jun 15 04:31:35 db-primary sshd[3177]: Accepted password for admin from 192.168.1.55 port 62369 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1078 — Valid Accounts,Initial Access,0.95,S-0022,59.03,CRITICAL
46,Jun 15 04:36:40,2024-06-15 04:36:40,FAILED_LOGIN,192.168.1.101,deploy,sshd,auth-gateway,37492]: Failed password for deploy from 192.168.1.101 port 42470 ssh2,Jun 15 04:36:40 auth-gateway sshd[37492]: Failed password for deploy from 192.168.1.101 port 42470 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1110 — Brute Force,Credential Access,0.35,S-0020,51.72,CRITICAL
47,Jun 15 04:48:23,2024-06-15 04:48:23,SUCCESSFUL_LOGIN,10.0.0.12,deploy,sshd,db-primary,25256]: Accepted password for deploy from 10.0.0.12 port 62356 ssh2,Jun 15 04:48:23 db-primary sshd[25256]: Accepted password for deploy from 10.0.0.12 port 62356 ssh2,Local,Internal,0.0,0.0,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.3,S-0023,52.14,CRITICAL
48,Jun 15 05:02:07,2024-06-15 05:02:07,SUCCESSFUL_LOGIN,10.0.1.200,ubuntu,sshd,web-prod,39474]: Accepted password for ubuntu from 10.0.1.200 port 60587 ssh2,Jun 15 05:02:07 web-prod sshd[39474]: Accepted password for ubuntu from 10.0.1.200 port 60587 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0024,49.62,CRITICAL
49,Jun 15 05:03:01,2024-06-15 05:03:01,SUCCESSFUL_LOGIN,10.0.0.5,deploy,sshd,server01,46858]: Accepted password for deploy from 10.0.0.5 port 52159 ssh2,Jun 15 05:03:01 server01 sshd[46858]: Accepted password for deploy from 10.0.0.5 port 52159 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0025,47.71,CRITICAL
50,Jun 15 05:05:05,2024-06-15 05:05:05,SUCCESSFUL_LOGIN,10.0.1.200,user,sshd,server01,41507]: Accepted password for user from 10.0.1.200 port 32858 ssh2,Jun 15 05:05:05 server01 sshd[41507]: Accepted password for user from 10.0.1.200 port 32858 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0024,49.62,CRITICAL
51,Jun 15 05:06:34,2024-06-15 05:06:34,SUCCESSFUL_LOGIN,10.0.1.200,ubuntu,sshd,db-primary,17854]: Accepted password for ubuntu from 10.0.1.200 port 31785 ssh2,Jun 15 05:06:34 db-primary sshd[17854]: Accepted password for ubuntu from 10.0.1.200 port 31785 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0024,49.62,CRITICAL
52,Jun 15 05:13:21,2024-06-15 05:13:21,SUCCESSFUL_LOGIN,10.0.0.12,user,sshd,db-primary,6637]: Accepted password for user from 10.0.0.12 port 50366 ssh2,Jun 15 05:13:21 db-primary sshd[6637]: Accepted password for user from 10.0.0.12 port 50366 ssh2,Local,Internal,0.0,0.0,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.3,S-0023,52.14,CRITICAL
53,Jun 15 05:16:48,2024-06-15 05:16:48,SUCCESSFUL_LOGIN,10.0.0.5,deploy,sshd,db-primary,59265]: Accepted password for deploy from 10.0.0.5 port 40352 ssh2,Jun 15 05:16:48 db-primary sshd[59265]: Accepted password for deploy from 10.0.0.5 port 40352 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0025,47.71,CRITICAL
54,Jun 15 05:29:51,2024-06-15 05:29:51,SUCCESSFUL_LOGIN,10.0.1.200,admin,sshd,db-primary,28225]: Accepted password for admin from 10.0.1.200 port 50223 ssh2,Jun 15 05:29:51 db-primary sshd[28225]: Accepted password for admin from 10.0.1.200 port 50223 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0024,49.62,CRITICAL
55,Jun 15 05:46:30,2024-06-15 05:46:30,SUCCESSFUL_LOGIN,10.0.0.12,user,sshd,auth-gateway,42567]: Accepted password for user from 10.0.0.12 port 31099 ssh2,Jun 15 05:46:30 auth-gateway sshd[42567]: Accepted password for user from 10.0.0.12 port 31099 ssh2,Local,Internal,0.0,0.0,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.3,S-0026,52.14,CRITICAL
56,Jun 15 05:47:28,2024-06-15 05:47:28,SUCCESSFUL_LOGIN,10.0.0.12,deploy,sshd,auth-gateway,5243]: Accepted password for deploy from 10.0.0.12 port 34428 ssh2,Jun 15 05:47:28 auth-gateway sshd[5243]: Accepted password for deploy from 10.0.0.12 port 34428 ssh2,Local,Internal,0.0,0.0,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.3,S-0026,52.14,CRITICAL
57,Jun 15 05:53:53,2024-06-15 05:53:53,SUCCESSFUL_LOGIN,192.168.1.101,user,sshd,db-primary,49953]: Accepted password for user from 192.168.1.101 port 36907 ssh2,Jun 15 05:53:53 db-primary sshd[49953]: Accepted password for user from 192.168.1.101 port 36907 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.35,S-0027,51.72,CRITICAL
58,Jun 15 05:54:32,2024-06-15 05:54:32,SUCCESSFUL_LOGIN,192.168.1.101,admin,sshd,db-primary,29872]: Accepted password for admin from 192.168.1.101 port 51281 ssh2,Jun 15 05:54:32 db-primary sshd[29872]: Accepted password for admin from 192.168.1.101 port 51281 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.35,S-0027,51.72,CRITICAL
59,Jun 15 06:01:14,2024-06-15 06:01:14,FAILED_LOGIN,192.168.1.55,user,sshd,server01,23639]: Failed password for user from 192.168.1.55 port 35996 ssh2,Jun 15 06:01:14 server01 sshd[23639]: Failed password for user from 192.168.1.55 port 35996 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1110 — Brute Force,Credential Access,0.95,S-0028,59.03,CRITICAL
60,Jun 15 06:03:32,2024-06-15 06:03:32,SUCCESSFUL_LOGIN,192.168.1.101,deploy,sshd,db-primary,49544]: Accepted password for deploy from 192.168.1.101 port 35003 ssh2,Jun 15 06:03:32 db-primary sshd[49544]: Accepted password for deploy from 192.168.1.101 port 35003 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.35,S-0027,51.72,CRITICAL
61,Jun 15 06:16:02,2024-06-15 06:16:02,SUCCESSFUL_LOGIN,10.0.0.5,user,sshd,web-prod,8122]: Accepted password for user from 10.0.0.5 port 64828 ssh2,Jun 15 06:16:02 web-prod sshd[8122]: Accepted password for user from 10.0.0.5 port 64828 ssh2,Local,Internal,0.0,0.0,0.25,AS8075  — Microsoft Corp,T1078 — Valid Accounts,Initial Access,0.3,S-0029,47.71,CRITICAL
62,Jun 15 06:28:32,2024-06-15 06:28:32,SUCCESSFUL_LOGIN,192.168.1.101,deploy,sshd,auth-gateway,16432]: Accepted password for deploy from 192.168.1.101 port 32810 ssh2,Jun 15 06:28:32 auth-gateway sshd[16432]: Accepted password for deploy from 192.168.1.101 port 32810 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.35,S-0027,51.72,CRITICAL
